sample_size,iteration,median_diff,hdi_width_85,hdi_width_90,hdi_width_95,likert_max_rhat,likert_n_divergent,cbcu_max_rhat,cbcu_n_divergent
500,4,0.21604249999999997,0.051591880021536,0.058845010213954496,0.0697667306016555,1.0475462052664772,0,1.0154033700896903,0
500,5,0.17968904000000002,0.05399675001332638,0.061608480119936415,0.07301813000244742,1.1065479306435937,0,1.1881219861911994,0
500,6,0.22485766500000004,0.05036955008304683,0.057121760189723286,0.06650205123866154,1.0745226043024163,0,1.0719330382857948,8
500,7,0.24880012499999998,0.055843640189269905,0.0628537701492079,0.07478892248813385,1.071211394454601,0,1.2488778027487504,110
500,8,0.21287642499999998,0.04997981002034321,0.05713314003476244,0.06802925053032391,1.0190517539132122,24,1.230639541613665,1
500,9,0.21755214499999997,0.0510377302653946,0.058255420113500184,0.06969366005942879,1.0928897756214586,0,1.1248718713433268,0
500,10,0.24775899,0.053425470343462206,0.06090157001564958,0.07138166011355476,1.1575709536165544,0,1.052364461939178,0
1000,1,0.226194805,0.03693676022223061,0.042406340002955706,0.05070382014151684,1.03992585603122,0,1.125167558008764,0
1000,2,0.246675115,0.03582345010078414,0.040937540083569646,0.048055600086828965,1.1768097086319267,0,1.2743798049346815,0
1000,3,0.22236640999999996,0.036584750224494256,0.0417669701158801,0.0496704001311124,1.3193836786751405,0,1.5328043605813846,547
1000,4,0.22933503500000002,0.03660438007944733,0.04139530028114574,0.04895232016004186,1.0549912129916228,2,1.2017654847598687,0
1000,5,0.22719610500000004,0.03605575002595149,0.04090291001980231,0.04856688005176721,1.2189855461276062,0,1.3233417673140266,3
1000,6,0.21583228500000007,0.03585388003394435,0.04066110001555295,0.04907444096294439,1.1730397747379744,0,1.0964066454774362,281
1000,7,0.24152971500000003,0.034925060021008036,0.040379800276911654,0.04804972034556704,1.3451393309461723,41,1.4956399402437925,0
1000,8,0.19969969499999995,0.037151340178513126,0.04302776045776763,0.05153413001886445,1.19907971414551,97,1.4626174718154556,404
1000,9,0.20424307499999994,0.034842870009678645,0.040290610342144983,0.047889920067085284,1.1587350646376489,1,1.1562305279645442,0
1000,10,0.22436873499999999,0.03551622026947576,0.04065536008474521,0.04860087034207386,1.2290696093245015,0,1.3361532192479502,212
